,exp_date,recording_id,roi_id,type,dendritic_distance_to_soma,euclidean_distance_to_density_center,sRF_asd_upsampled_cntr_size_60,cntrs_offset_calibrate_to_rois_60,cntr_quality_60,sRF_asd_upsampled_cntr_size_65,cntrs_offset_calibrate_to_rois_65,cntr_quality_65,sRF_asd_upsampled_cntr_size_70,cntrs_offset_calibrate_to_rois_70,cntr_quality_70,cntr_quality
1382,20171219_1,3,1,0,180.7731324036,114.289211517,10.168266673,17.7314972349,1,8.2988237267,18.6233932793,1,6.6994203833,16.3329640517,1,1
1383,20171219_1,3,2,0,173.2967761055,110.5813208614,11.1979389926,25.2028357305,1,9.0071633855,22.3705166118,1,7.1505656924,19.0528375293,1,1
1384,20171219_1,3,3,0,171.6816693494,108.1754480832,10.3194788738,31.1234937265,1,8.5187799745,29.3002504322,1,6.9426144534,28.2781597267,1,1
1385,20171219_1,3,4,0,167.8057651864,104.8514721097,11.2646559453,27.3676766898,1,9.3078435364,24.7122101171,1,7.5885734234,24.5574526294,1,1
1386,20171219_1,3,5,0,169.4208719424,109.0777905161,27.1039346095,0,0,18.5720090172,61.3410669234,1,13.6987278534,51.8372150543,1,0
1387,20171219_1,3,6,0,166.5995157945,106.2566997462,15.1427819055,51.0281975861,1,12.348015653,46.0391177819,1,9.8318977813,40.9846115703,1,1
1388,20171219_1,3,7,0,183.4331324895,116.3529680892,10.7869476755,27.4772098618,1,8.7573366827,26.9776523215,1,7.0354424514,25.4561779856,1,1
1389,20171219_1,3,8,0,176.507680247,111.6771138667,15.8632049873,41.0936522437,1,12.012280673,32.7400396551,1,8.7269859459,19.7534311655,1,1
1390,20171219_1,3,9,0,186.8008852836,118.0331893428,24.9393030497,0,0,12.4958864606,33.2032224429,1,10.1123927692,30.7149146495,1,0
1391,20180126_1,0,0,0,0,21.7409333979,29.9871025553,67.0989192754,1,25.647975748,64.4782292077,1,21.4648783165,0,0,0
1392,20180126_1,1,1,0,45.3952532137,38.452698863,38.6989508554,0,0,27.9030043201,0,0,21.813598414,0,0,0
1393,20180126_1,1,2,0,40.968444995,37.6520600126,0,0,0,4.175414532,107.5312039346,1,7.2302918278,0,0,0
1394,20180126_1,1,3,0,36.6452628117,36.7478945853,50.7399876573,0,0,36.6062426021,0,0,29.8190936952,0,0,0
